Name,Team,Position,Start-IP,Relief-IP,WAR,IP,ERA,FIP,xFIP,SIERA,K%,BB%,SwStr%,CSW%,Hard%
Sean Doolittle,WSN,RP,0,5.1,0.3,5.1,0,0.86,3.08,2.15,35.3,0,20,38.2,36.4
Charlie Culberson,TEX,RP,0,2,0,2,0,4.61,6.83,7.39,0,12.5,3.6,17.9,28.6
Sandy Leon,CLE,RP,0,2,0,2,0,3.11,6.81,9.64,0,0,5.9,29.4,0
Marwin Gonzalez,NYY,RP,0,0.1,0,0.1,0,3.11,3.11,-1.3,0,0,0,25,0
Jay Jackson,ATL,RP,0,1.1,0,1.1,0,1.61,3.83,4.47,20,0,16.7,25,25
Ehire Adrianza,WSN,RP,0,1,0,1,0,4.11,7.07,7.26,25,25,8.3,25,0
Darin Ruf,NYM,RP,0,2,0,2,0,3.11,6.81,7.81,0,0,0,14.3,28.6
Randal Grichuk,COL,RP,0,1,0,1,0,3.11,4.59,4.6,0,0,10,20,33.3
Corey Dickerson,STL,RP,0,1,0,1,0,6.11,7.59,8.06,0,16.7,0,11.1,20
Phil Gosselin,LAA,RP,0,1,0,1,0,3.11,4.59,4.6,0,0,0,0,33.3
Parker Markel,OAK,RP,0,3,-0.1,3,0,6.11,7.59,9.51,23.1,38.5,8.2,24.6,60
Jace Peterson,MIL,RP,0,1,0,1,0,3.11,4.59,4.6,0,0,0,25,0
Alex Claudio,NYM,RP,0,3.1,0,3.1,0,3.71,4.6,4.87,15.4,15.4,10,18,33.3
Ken Giles,SEA,RP,0,4.1,0,4.1,0,3.11,4.14,4.63,33.3,22.2,14.9,31.3,37.5
Orlando Arcia,ATL,RP,0,1,0,1,0,6.11,10.55,13.3,0,25,10,10,0
Ildemaro Vargas,WSN,RP,0,1,0,1,0,3.11,4.59,4.6,0,0,0,0,66.7
Austin Adams,SDP,RP,0,2.1,0,2.1,0,5.26,5.26,7.5,22.2,33.3,10.4,31.3,25
Kevin Plawecki,BOS,RP,0,1,0,1,0,3.11,7.55,10.41,0,0,0,11.1,50
Franmil Reyes,CHC,RP,0,1,0,1,0,4.11,4.11,1.02,33.3,0,10,40,0
Jack Mayfield,LAA,RP,0,1,0,1,0,3.11,6.07,6.8,0,0,0,30.8,0
Willians Astudillo,MIA,RP,0,2,0,2,0,6.11,6.85,10.45,0,28.6,0,13,60
Reese McGuire,BOS,RP,0,1,0,1,0,3.11,6.07,7.23,0,0,0,14.3,66.7
Pablo Reyes,MIL,RP,0,1,0,1,0,3.11,4.59,5.92,0,0,0,33.3,0
Ryan Castellani,OAK,RP,0,2.2,0.1,2.2,0,2.36,3.47,3.27,9.1,0,4.4,17.8,30
Yonny Chirinos,TBR,SP,4,3,0.2,7,0,2.26,3.1,2.44,20,3.3,9,27,40.9
